Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 100600;11 34 42,49024;+16 47 48,8956;11;34;42.5;173.6770427;3.03123623;+;16;47;48.9;16.79691544;0.293161479;239.179;69.4687;5.78;5.94;-0.16;-0.18;0.02;B4V;B4;66.50942071;
HD 100673;11 34 45,65581;-54 15 50,7320;11;34;45.7;173.6902325;3.031466436;-;54;15;50.7;-54.26409222;-0.947087075;291.7927;6.9409;4.548;4.614;-0.066;-0.07;0.00;B9Ve;B9;67.6313768;
HD 100889;11 36 40,91335;-09 48 08,0912;11;36;40.9;174.1704723;3.039848201;-;09;48;08.1;-9.802247556;-0.171081494;274.2494;48.8616;4.626;4.682;-0.056;-0.07;0.01;B9,5Vn;B9,5;62.10132053;
HD 101431;11 40 12,78970;-34 44 40,7733;11;40;12.8;175.0532904;3.055256284;-;34;44;40.8;-34.74465925;-0.606408701;286.7153;25.8742;4.623;4.693;-0.07;-0.07;0.00;B9V;B9;63.98984669;
HD 10144 ;01 37 42,84548;-57 14 12,3101;01;37;42.8;24.42852283;0.426358155;-;57;14;12.3;-57.23675281;-0.99896979;290.8412;-58.792;0.3;0.5;-0.2;-0.14;-0.06;B6Vep;B6;81.56154864;
HD 101615;11 41 19,79057;-43 05 44,3987;11;41;19.8;175.3324607;3.060128725;-;43;05;44.4;-43.09566631;-0.75216127;289.5666;17.9492;5.572;5.531;0.041;-0.01;0.05;A0V;A0;65.72356796;
HD 102124;11 45 17,04027;+08 15 29,2150;11;45;17.0;176.3210011;3.07738201;+;08;15;29.2;8.258115278;0.144131302;260.1825;65.4799;5.006;4.845;0.161;0.12;0.04;A4V;A4;66.854021;
HD 102249;11 45 36,41916;-66 43 43,5440;11;45;36.4;176.4017465;3.078791283;-;66;43;43.5;-66.72876222;-1.164636607;296.4837;-4.6847;3.796;3.634;0.162;0.2;-0.04;A7V;A7;73.00693777;
HD 10250 ;01 42 55,86416;+70 37 21,0894;01;42;55.9;25.73276733;0.449121516;+;70;37;21.1;70.62252483;1.232595584;127.2148;8.1802;5.155;5.177;-0.022;-0.07;0.05;B9V;B9;96.06227076;
HD 102509;11 47 59,13595;+20 13 08,1500;11;47;59.1;176.9963998;3.089169941;+;20;13;08.2;20.21893056;0.352886909;235.0034;73.9319;5.053;4.537;0.516;0.2;0.32;A7V+,,,;A7;70.51178397;
HD 102776;11 49 41,06060;-63 47 18,5249;11;49;41.1;177.4210858;3.09658211;-;63;47;18.5;-63.78847914;-1.113318986;296.1765;-1.7296;4.174;4.313;-0.139;-0.2;0.06;B3Vne;B3;72.44809893;
HD 103079;11 51 51,22590;-65 12 21,2653;11;51;51.2;177.9634413;3.106047998;-;65;12;21.3;-65.20590703;-1.138057769;296.7344;-3.0536;4.803;4.929;-0.126;-0.18;0.05;B4V;B4;73.11116002;
HD 103101;11 52 10,27889;-56 59 15,8729;11;52;10.3;178.0428287;3.107433571;-;56;59;15.9;-56.98774247;-0.994623739;294.8929;4.9561;5.621;5.563;0.058;0.05;0.01;A2V;A2;70.77344435;
HD 103287;11 53 49,84732;+53 41 41,1350;11;53;49.8;178.4576972;3.114674391;+;53;41;41.1;53.69475972;0.937150348;140.8399;61.3849;2.45;2.44;0.01;-0.01;0.02;A0Ve;A0;83.39745021;
HD 103578;11 55 40,53346;+15 38 48,5432;11;55;40.5;178.9188894;3.122723714;+;15;38;48.5;15.64681756;0.273088484;251.671;72.6973;5.64;5.531;0.109;0.08;0.03;A3V;A3;71.04765977;
HD 103632;11 56 00,95323;-17 09 02,9781;11;56;01.0;179.0039718;3.124208682;-;17;09;03.0;-17.15082725;-0.299338405;284.4719;43.7254;5.146;5.168;-0.022;-0.01;-0.01;A0V;A0;66.46748344;
HD 103884;11 57 40,00819;-62 26 55,4867;11;57;40.0;179.4167008;3.131412162;-;62;26;55.5;-62.44874631;-1.089936237;296.759;-0.2232;5.404;5.552;-0.148;-0.2;0.05;B3V;B3;72.91805329;
HD 104174;11 59 37,57634;-78 13 18,6179;11;59;37.6;179.9065681;3.139961959;-;78;13;18.6;-78.22183831;-1.365228625;300.2088;-15.6249;4.85;4.898;-0.048;-0.07;0.02;B9Vn;B9;77.88867109;
